date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:12:11	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Dec%202023%2007:12:10%20GMT	http://stephen.iceztech.com/robots.txt		(from )
08:12:12	44742/44742	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Aug%202022%2017:54:56%20GMT	http://stephen.iceztech.com/	C:/Downloaded%20Web%20Sites/stevenPort/stephen.iceztech.com/index.html	(from )
08:12:14	106478/106478	---M-Z	200	added ('OK')	text/css	date:Sun,%2028%20Nov%202021%2023:37:46%20GMT	http://stephen.iceztech.com/css/plugins.css	C:/Downloaded%20Web%20Sites/stevenPort/stephen.iceztech.com/css/plugins.css	(from http://stephen.iceztech.com/)
08:12:14	7718/7718	---M-Z	200	added ('OK')	text/css	date:Sun,%2028%20Nov%202021%2023:37:44%20GMT	http://stephen.iceztech.com/css/dark.css	C:/Downloaded%20Web%20Sites/stevenPort/stephen.iceztech.com/css/dark.css	(from http://stephen.iceztech.com/)
08:12:15	108057/108057	---M-Z	200	added ('OK')	text/css	date:Sun,%2028%20Nov%202021%2023:58:46%20GMT	http://stephen.iceztech.com/css/style.css	C:/Downloaded%20Web%20Sites/stevenPort/stephen.iceztech.com/css/style.css	(from http://stephen.iceztech.com/)
08:12:17	16006/16006	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2019:36:22%20GMT	http://stephen.iceztech.com/img/logo/fav1.png	C:/Downloaded%20Web%20Sites/stevenPort/stephen.iceztech.com/img/logo/fav1.png	(from http://stephen.iceztech.com/)
08:12:19	1615/1615	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Nov%202021%2023:38:08%20GMT	http://stephen.iceztech.com/img/svg/cancel.svg	C:/Downloaded%20Web%20Sites/stevenPort/stephen.iceztech.com/img/svg/cancel.svg	(from http://stephen.iceztech.com/)
08:12:23	1483/1483	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Nov%202021%2023:38:08%20GMT	http://stephen.iceztech.com/img/svg/archive.svg	C:/Downloaded%20Web%20Sites/stevenPort/stephen.iceztech.com/img/svg/archive.svg	(from http://stephen.iceztech.com/)
08:12:23	1934/1934	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Nov%202021%2023:38:08%20GMT	http://stephen.iceztech.com/img/svg/contacs.svg	C:/Downloaded%20Web%20Sites/stevenPort/stephen.iceztech.com/img/svg/contacs.svg	(from http://stephen.iceztech.com/)
08:12:23	1082/1082	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Nov%202021%2023:38:08%20GMT	http://stephen.iceztech.com/img/svg/briefcase.svg	C:/Downloaded%20Web%20Sites/stevenPort/stephen.iceztech.com/img/svg/briefcase.svg	(from http://stephen.iceztech.com/)
